"";"ABBREVIAT";"SPECIES_NR";"LETTERCODE";"RANG";"GRUPPE";"TaxonName";"STATUS_D";"N";"F";"T";"AR";"HEIMAT";"HÄUFIGK";"GEF2006";"FSKNR";"GLOB_RBD";"NAT_RBD";"UEREG_GEF";"RELEVANZ";"UEREG_BED";"HANDLUNG";"GEF1991";"RL_BALT";"RLD";"FFH_Anh";"BARTSCH";"TAX_Ind";"TAX_Bew";"RLPGMV";"FFH1";"FFH2";"FFH3";"FFH4";"FFH_FSP_1";"FFH_FSP_2";"BIOTOP";"BioNr";"BioCode";"BioName";"Para20";"StandCode";"BioTyp1";"BioTyp2";"BioTyp3";"HLRT_WM";"Massn_1";"Massn_2";"Massn_3";"Instrument"
"551";"Cnidium dubium";1597;"SLNMDUB";"SPE";"S";"Cnidium dubium";"A/I";"1";1;1;"NW x";"";"s >";"2";105;"";"";"!!";"";3;"!!";"1";"2";2;"";"";5;"!!";"23.2.2.2";6440;NA;NA;NA;"";"";"xx";"9.1.7";"GFB";"Brenndolden-Auenwiese";"§ 20";"35.02.02";"L13";"";"";"B2";"Pflegende Nutzung stark wasserbeeinflusster Grünlandbereiche";"flankierende Maßnahmen zur Verbesserung des Naturhaushaltes";"";"Naturschutzgerechte Grünlandnutzung"
"552";"Cochlearia anglica";1599;"CCHLANG";"SPE";"S";"Cochlearia anglica";"I";"1";1;1;"O x";"";"s";"3";82;"!!";"!";"";"§";5;"!!";"2";"3";NA;"";"§";4;"!";"K14";1330;NA;NA;NA;"";"";"";"3.4.2";"KGM";"Mesohalines Salzgrünland";"§ 20";"08.02, 08.05";"L15";"";"";"K4";"Pflegende Nutzung von Salzwiesen der Küste mit natürlichem Überflutungsregime";"";"";"Naturschutzgerechte Grünlandnutzung"
"553";"Cochlearia danica";1600;"CCHLDAN";"SPE";"S";"Cochlearia danica";"I";"1";1;1;"O x";"";"z";"uu";262;"!";"!";"";"";3;"-";"";"";NA;"";"";4;"!";"K14, 14.1.1.2";1330;NA;NA;NA;"";"";"xx";"3.4.6";"KGS";"Halophile Pionierflur, quellerarm";"§ 20";"8.04";"L15";"KGA, KGD";"";"K4";"Pflegende Nutzung von Salzwiesen der Küste mit natürlichem Überflutungsregime";"";"";"Naturschutzgerechte Grünlandnutzung"
"554";"Coincya monensis";26502;"CNCYMON";"SPE";"S";"Coincya monensis";"N";"3";3;3;"";"Iberische Halbinsel, Frankreich bis Belgien und Rheingebiet";"s <";"u";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"555";"Colchicum autumnale";1610;"CLCHAUT";"SPE";"S";"Colchicum autumnale";"I";"3";4;3;"fehlt";"";"s";"R";NA;"";"";"";"";NA;"";"1";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"556";"Collomia grandiflora";1615;"CLLMGRA";"SPE";"S";"Collomia grandiflora";"I";"4a";4;3;"";"NW-AM";"ss verwildert";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"557";"Colutea arborescens";1616;"COLTARB";"SPE";"S";"Colutea arborescens";"I";"4b";4;3;"";"südl. M-EUR bis Frankreich, N-AFR";"s verwildert";"k. A.";NA;"";"";"";"";NA;"";"";"";3;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"558";"Commelina communis";1619;"CMMLCOM";"SPE";"S";"Commelina communis";"";"4b";3;3;"";"China, eingebürgert in AS u. EUR";"ss adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"559";"Conium maculatum";1621;"CONMMAC";"SPE";"S";"Conium maculatum";"A";"2";4;2;"x";"";"v <";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"560";"Conringia orientalis";1624;"CNRNORI";"SPE";"S";"Conringia orientalis";"";"4b";3;3;"";"Mittelmeergebiet, pont. Gebiet bis W-AS, vielleicht auch wärmeres Mittel-EUR";"ss adventiv";"k. A.";NA;"";"";"!";"";NA;"";"";"";2;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"561";"Consolida ajacis";1625;"CNSLAJA";"SPE";"S";"Consolida ajacis";"N";"4b";4;3;"";"S-EUR bis aralokaspisches Gebiet";"s verwildert";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"562";"Consolida hispanica";21356;"CNSLHIS";"SPE";"S";"Consolida hispanica";"";"4b";3;3;"";"SO-EUR, Orient bis Tibet";"s adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"563";"Consolida regalis";1627;"CNSLREG";"SPE";"S";"Consolida regalis";"A";"3";3;2;"x";"";"z >, fr v";"3";NA;"";"";"";"";NA;"";"3";"";3;"";"";5;"!!";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"564";"Convallaria majalis";1630;"CNVLMAJ";"SPE";"S";"Convallaria majalis";"I";"1";1;1;"x";"";"v";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"565";"Convolvulus arvensis";1632;"CNVEARV";"SPE";"S";"Convolvulus arvensis";"I";"1";1;1;"x";"";"g";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"566";"Corallorhiza trifida";1639;"CRLLTRI";"SPE";"S";"Corallorhiza trifida";"I";"1";1;1;"W x";"";"ss, fr s";"1";187;"";"";"";"§";1;"!!";"1";"";3;"";"§ C";5;"!!";"-";NA;NA;NA;NA;"x";"";"";"";"x";"";"";"";"";"";"";"o";"Ungestörte Entwicklung naturnaher Wälder";"";"";"Naturwaldparzellen, Kernzonen Schutzgebiete"
"567";"Coriandrum sativum";1640;"CRNDSAT";"SPE";"S";"Coriandrum sativum";"N";"4b";4;3;"";"Vorder-AS, östl. Mittelmeergebiet";"s verwildert";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"568";"Corispermum intermedium";99028;"CRSPINT";"SPE";"S";"Corispermum intermedium";"";"4b";3;3;"";"Ostseeküste (Danziger Bucht bis Memel)";"s adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"569";"Corispermum leptopterum";1644;"CRSPLEP";"SPE";"S";"Corispermum leptopterum";"N";"3";3;3;"x";"";"z <";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"570";"Corispermum marschallii";1645;"CRSPMAR";"SPE";"S";"Corispermum marschallii";"";"4b";3;3;"";"mittleres und südliches Russland, Kaukasus, Transkaukasien, Sibirien, in EUR ein";"ss adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"571";"Corispermum nitidum";1648;"CRSPNIT";"SPE";"S";"Corispermum nitidum";"";"4b";3;3;"";"Gebiet der pannonischen Flora, im östlichen Niederösterreich und Ungarn";"s adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"572";"Cornus alba";6729;"CRNSALB";"SPE";"S";"Cornus alba";"A";"4a";4;3;"";"Sibirien bis O-AS";"s verwildert";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"573";"Cornus sanguinea";1650;"CRNSSAN";"SPE";"S";"Cornus sanguinea";"I";"1";1;1;"N x";"";"v";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"574";"Cornus sericea";1651;"CRNSSER";"SPE";"S";"Cornus sericea";"I";"4a";4;3;"";"N-AM";"z verwildert";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"575";"Coronilla varia";1662;"SCRGVAR";"SPE";"S";"Coronilla varia";"I";"3";3;3;"NW x";"";"z";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"576";"Coronopus didymus";1663;"LPDMDID";"SPE";"S";"Coronopus didymus";"I";"4b";3;3;"";"südl. S-AM";"s adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"577";"Coronopus squamatus";1664;"LPDMCOR";"SPE";"S";"Coronopus squamatus";"I";"3";3;2;"x";"";"z";"2";NA;"";"";"";"";NA;"";"2";"";3;"";"";5;"!!";"16.1.2.3";NA;NA;NA;NA;"dörfliche Ruderalvegetation";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"578";"Corrigiola litoralis";1665;"CRRGLIT";"SPE";"S";"Corrigiola litoralis";"I";"1";1;1;"O x";"";"s, fr z";"2";83;"!";"";"!!";"";5;"!!";"2";"2";3;"";"";5;"!!";"V08.1.2, 08.1.2.3";3270;NA;NA;NA;"";"";"xx";"6.6.1";"VSF";"Flussuferflur";"(§ 20)";"39.04.01";"-";"";"";"B1";"Ungestörte Naturentwicklung naturnaher Uferbereiche";"Gewässerschonende Nutzung von Fließgewässerabschnitten";"";"WRRL, Landschaftsplanung"
"579";"Corrigiola telephiifolia";93662;"CRRGTEL";"SPE";"S";"Corrigiola telephiifolia";"I";"4b";3;3;"";"westl. Mittelmeergebiet";"ss adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"580";"Corydalis cava";1669;"CRYDCAV";"SPE";"S";"Corydalis cava";"I";"1";1;1;"x";"";"z";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"34.1.1.1";9130;9180;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"581";"Corydalis claviculata";1670;"CRTOCLA";"SPE";"S";"Corydalis claviculata";"I";"2";1;3;"O x";"";"s <<";"u";NA;"";"";"";"";NA;"";"1";"";NA;"";"";NA;"(!)";"26.1.1.2; KD32,33";NA;NA;NA;NA;"borealer Nadelwald";"";"x";"1.16.3";"WLT";"Schlagflur / Waldlichtungsflur trockener bis 
frischer Standorte";"-";"39.02";"B19";"";"";"o";"Beibehaltung der forstlichen Nutzung";"";"";"Forsteinrichtung"
"582";"Corydalis intermedia";1671;"CRYDINT";"SPE";"S";"Corydalis intermedia";"I";"1";1;1;"x";"";"z";"uu";279;"!";"";"";"";2;"-";"";"";NA;"";"";NA;"(!)";"K34";9130;9180;NA;NA;"";"";"xx";"";"WBG";"Frischer bis trockener Buchenwald reicher Standorte";"(§ 20)";"43.07.05.01";"B 11, B12";"WBE, WEE, WEH, WHE, WHF, WSA";"";"W1";"Ungestörte Entwicklung naturnaher Wälder";"";"";"Naturwaldparzellen, Kernzonen Schutzgebiete"
"583";"Corydalis lutea";1672;"PSDFLUT";"SPE";"S";"Corydalis lutea";"N";"3";4;3;"";"Alpen";"z";"R";NA;"!";"";"";"";2;"";"";"";NA;"";"";NA;"(!)";"O19.1, 19.1.1.1";NA;NA;NA;NA;"dörfliche Ruderalvegetation";"";"xx";"11.1.10";"XGM";"Fels- und Mauerfluren";"-";"-";"";"";"";"o";"Erhalt der Struktur einschließlich seines Mikroklimas";"";"";"Landschaftspflege"
"584";"Corydalis ochroleuca";1673;"PSDFA-A";"SPE";"S";"Corydalis ochroleuca";"";"4b";4;3;"";"Apenninen und Dinarische Gebirge";"ss verwildert";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"585";"Corydalis pumila";1674;"CRYDPUM";"SPE";"S";"Corydalis pumila";"I";"1";1;1;"W x";"";"s";"R";263;"!!";"";"";"";3;"(!!)";"";"";NA;"";"";NA;"(!)";"K34";NA;NA;NA;NA;"9130";"";"";"";"WBW";"Frischer bis trockener Buchenwald kräftiger Standorte";"(§ 20)";"43.07.05.01";"B 11, B12";"";"";"W1";"Ungestörte Entwicklung naturnaher Wälder";"";"";"Naturwaldparzellen, Kernzonen Schutzgebiete"
"586";"Corydalis solida";1675;"CRYDSOL";"SPE";"S";"Corydalis solida";"I";"3";4;3;"fehlt";"";"s";"R";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"587";"Corylus avellana";1676;"CRYLAVE";"SPE";"S";"Corylus avellana";"I";"1";1;1;"x";"";"g";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"588";"Corylus maxima";1678;"CRYLMAX";"SPE";"S";"Corylus maxima";"I";"4b";4;3;"";"SO-EUR";"ss verwildert";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"589";"Corynephorus canescens";1679;"CRYNCAN";"SPE";"S";"Corynephorus canescens";"I";"1";1;1;"x";"";"v";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"590";"Cosmos bipinnatus";27359;"CSMSBIP";"SPE";"S";"Cosmos bipinnatus";"";"4b";3;3;"";"AM";"s verwildert";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"591";"Cotinus coggygria";1681;"CTNSCOG";"SPE";"S";"Cotinus coggygria";"I";"4b";4;3;"";"östl. Mittelmeergebiet bis M-AS und NW-Himalaja";"ss verwildert";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"592";"Cotoneaster horizontalis";1682;"CTNEHOR";"SPE";"S";"Cotoneaster horizontalis";"N";"4b";4;3;"";"China";"s verwildert";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"593";"Cotoneaster integerrimus";1683;"CTNEINT";"SPE";"S";"Cotoneaster integerrimus";"N";"4b";4;3;"";"südl. Mittel- und SO-EUR bis Kaukasus, S-Skandinavien";"s verwildert";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"594";"Cotula coronopifolia";1688;"COTLCOR";"SPE";"S";"Cotula coronopifolia";"N";"2";2;3;"";"S-AFR, Neuseeland";"s <";"u";NA;"";"";"";"";NA;"";"";"3";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"595";"Crambe maritima";1689;"CRMBMAR";"SPE";"S";"Crambe maritima";"I";"1";1;1;"O x";"";"s";"2";30;"!!";"!!!";"";"§";7;"!!!";"1";"";3;"";"§";4;"!";"15.1.3.3";1220;2120;NA;NA;"";"";"xx";"3.6.15";"KSM";"Geröll- und Blockstrand mit ausdauernder Vegetation";"§ 20";"09.04.02";"W52, W62";"KSR, KDW";"";"K3";"Ungestörte Naturentwicklung naturnaher Küstenabschnitte";"";"";"Kernzonen Schutzgebiete"
"596";"Crataegus monogyna var. monogyna";26154;"CRTGMON";"VAR";"S";"Crataegus monogyna";"I";"1";1;1;"x";"";"v";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"597";"Crepis biennis";1714;"CRPTBIE";"SPE";"S";"Crepis biennis";"A";"2";2;2;"x";"";"z";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"598";"Crepis capillaris";1716;"CRPTCAP";"SPE";"S";"Crepis capillaris";"A/I";"3";2;2;"x";"";"z";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"599";"Crepis foetida";1720;"CRPTFOE";"SPE";"S";"Crepis foetida";"";"4b";3;3;"";"S-EUR und südl. M-EUR";"ss adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"600";"Crepis paludosa";1731;"CRPTPAL";"SPE";"S";"Crepis paludosa";"I";"1";1;1;"x";"";"v >";"V";NA;"";"";"";"";NA;"";"3";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"601";"Crepis polymorpha";21416;"CRPTV-T";"SPE";"S";"Crepis polymorpha";"";"4b";3;3;"";"W-, S-EUR bis Balkan";"ss adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"602";"Crepis praemorsa";1736;"CRPTPRA";"SPE";"S";"Crepis praemorsa";"I";"1";1;1;"W x";"";"fr ss";"0";NA;"";"";"";"";NA;"";"0";"";3;"";"";NA;"(!)";"-";NA;NA;NA;NA;"6210";"";"";"8.3.1";"TKH";"Basiphiler Halbtrockenrasen";"§ 20";"34.02.01.02";"T22, L14";"";"";"T1";"Pflegende Nutzung und Offenhaltung von Trockenstandorten";"";"";"Naturschutzgerechte Grünlandnutzung, Landschaftspflege"
"603";"Crepis pulchra subsp. pulchra";6462;"CRPTPUL";"SSP";"S";"Crepis pulchra";"";"4b";3;3;"D";"";"ss adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"604";"Crepis rhoeadifolia";1721;"CRPTFOE";"SPE";"S";"Crepis rhoeadifolia";"I";"4a";3;3;"";"O- und SO-EUR, östl. Mittelmeergebiet bis Transkaukasien";"s adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"605";"Crepis setosa";1745;"CRPTSET";"SPE";"S";"Crepis setosa";"";"4b";3;3;"";"S- und SO-EUR, Klein-AS, Kaukasusländer";"ss adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"606";"Crepis tectorum";1748;"CRPTTEC";"SPE";"S";"Crepis tectorum";"I";"3";3;2;"x";"";"v >";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"607";"Cruciata laevipes";1766;"CRCTLAE";"SPE";"S";"Cruciata laevipes";"I";"2";1;3;"N x";"";"z";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"608";"Cruciata pedemontana";1767;"CRCTPED";"SPE";"S";"Cruciata pedemontana";"";"4b";3;3;"";"S-EUR, SW-AS";"ss";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"609";"Crypsis aculeata";1769;"CRYPACU";"SPE";"S";"Crypsis aculeata";"";"4b";3;3;"";"W-EUR, Mittelmeergebiet bis SO-EUR, AFR, AS";"ss adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"610";"Crypsis alopecuroides";6737;"CRYPALO";"SPE";"S";"Crypsis alopecuroides";"";"4b";3;3;"";"W-Frankreich, Mittelmeergebiet bis W-AS";"ss adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"611";"Crypsis schoenoides";93669;"CRYPSCH";"SPE";"S";"Crypsis schoenoides";"";"4b";3;3;"";"W-EUR, Mittelmeergebiet, AFR, AS";"ss adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"612";"Cucubalus baccifer";1771;"SILNBAC";"SPE";"S";"Cucubalus baccifer";"I";"1";1;1;"x";"";"ss";"1";NA;"";"";"";"";NA;"";"1";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"613";"Cucurbita ficifolia";93670;"CCROFIC";"SPE";"S";"Cucurbita ficifolia";"I";"4b";4;3;"";"Hochländer von Mittel-AM, Mexiko";"s verwildert";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"614";"Cucurbita pepo";6741;"CCROPEP";"SPE";"S";"Cucurbita pepo";"I";"4b";4;3;"";"Mexiko";"z verwildert";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"615";"Cuscuta campestris";1776;"CSCTCAM";"SPE";"S";"Cuscuta campestris";"N";"3";3;3;"";"N- und M-AM";"s, fr s adventiv";"u";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"616";"Cuscuta epilinum";1778;"CSCTEPI";"SPE";"S";"Cuscuta epilinum";"A";"3";3;2;"x";"";"fr v, j ss adventiv";"0";NA;"";"";"!!!";"";NA;"[!!!]";"0";"0";0;"";"";3;"!";"-";NA;NA;NA;NA;"Segetal";"";"";"12.1.3";"ACE";"Extensivacker";"-";"33.03.01 /02
33.04.01 /02
33.05.01 /02";"";"";"";"o";"Angepasste Ackerbewirtschaftung";"";"";"bisher keine"
"617";"Cuscuta epithymum";1781;"CSCTMPI";"SPE";"S";"Cuscuta epithymum";"I";"3";2;2;"x";"";"s >, fr z";"1";NA;"";"";"";"";NA;"";"2";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"618";"Cuscuta europaea";1786;"CSCTEUR";"SPE";"S";"Cuscuta europaea";"I";"1";1;1;"x";"";"z";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"619";"Cuscuta lupuliformis";1788;"CSCTLUP";"SPE";"S";"Cuscuta lupuliformis";"I";"2";1;3;"N x";"";"s";"R";NA;"";"";"";"";NA;"";"0";"3";NA;"";"";NA;"";"x";NA;NA;NA;NA;"91";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"620";"Cuscuta suaveolens";1789;"CSCTSUA";"SPE";"S";"Cuscuta suaveolens";"";"4b";3;3;"";"Chile";"ss adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"621";"Cuscuta trifolii";1785;"CSCTMPI";"SPE";"S";"Cuscuta trifolii";"N";"3";3;3;"x (ursprünglich nur Mittelmeergebiet)";"";"fr z";"0";NA;"";"";"";"";NA;"";"0";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"622";"Cydonia oblonga";1794;"CYDNOBL";"SPE";"S";"Cydonia oblonga";"I";"4a";4;3;"";"SW-AS und SO-Arabien";"ss verwildert";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"623";"Cymbalaria muralis";1795;"CYMBMUR";"SPE";"S";"Cymbalaria muralis";"N";"3";4;3;"x";"Gebirge von N-Italien und der Adria";"z";"uu";NA;"";"";"";"";NA;"";"";"3";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"624";"Cynodon dactylon";1800;"CYNDDAC";"SPE";"S";"Cynodon dactylon";"";"4b";3;3;"";"unklar, fast Kosmopolit";"ss adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"625";"Cynoglossum officinale";1805;"CYNGOFF";"SPE";"S";"Cynoglossum officinale";"I";"2";2;2;"x";"";"v";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"626";"Cynosurus cristatus";1806;"CYNSCRI";"SPE";"S";"Cynosurus cristatus";"I";"3";2;2;"x";"";"v >";"3";NA;"";"";"";"";NA;"";"3";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"627";"Cynosurus echinatus";1807;"CYNSECH";"SPE";"S";"Cynosurus echinatus";"";"4b";3;3;"";"Mittelmeergebiet, atlant. Küsten";"s adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"628";"Cyperus flavescens";1811;"CYPRFLA";"SPE";"S";"Cyperus flavescens";"I";"1";1;1;"N x";"";"fr s";"0";NA;"";"";"!!!";"";NA;"[!!!]";"0";"1";2;"";"";3;"!";"-";NA;NA;NA;NA;"3270";"";"";"6.6.1";"VSF";"Flussuferflur";"(§ 20)";"39.04.01";"-";"";"";"B1";"Ungestörte Naturentwicklung naturnaher Uferbereiche";"Gewässerschonende Nutzung von Fließgewässerabschnitten#";"";"WRRL, Landschaftsplanung"
